Date : 2022-04-27 02:43:00
Directory : /Users/kadirnacar/github/security
Total : 544 files,  121256 codes, 23515 comments, 13101 blanks, all 157872 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| alpr/openalpr/src/openalpr/simpleini                                                                                     |          5 |      2,730 |      1,452 |        293 |      4,475 |
| alpr/openalpr/src/openalpr/support                                                                                       |         68 |     23,403 |      5,256 |      3,119 |     31,778 |
| alpr/openalpr/src/openalpr/support/re2                                                                                   |         50 |     20,752 |      4,256 |      2,576 |     27,584 |
| alpr/openalpr/src/openalpr/support/re2/util                                                                              |         19 |      5,397 |      1,315 |        686 |      7,398 |
| alpr/openalpr/src/openalpr/support/utf8                                                                                  |          3 |        660 |        107 |        120 |        887 |
| alpr/openalpr/src/openalpr/textdetection                                                                                 |         10 |      1,217 |        254 |        478 |      1,949 |
| alpr/openalpr/src/statedetection                                                                                         |          8 |        559 |        201 |        195 |        955 |
| alpr/openalpr/src/tclap                                                                                                  |         24 |      2,820 |      2,111 |        711 |      5,642 |
| alpr/openalpr/src/tests                                                                                                  |          5 |      8,340 |        401 |      1,797 |     10,538 |
| alpr/openalpr/src/video                                                                                                  |          3 |        257 |         36 |         97 |        390 |
| alpr/webservice                                                                                                          |          2 |        130 |          0 |         19 |        149 |
| local_modules                                                                                                            |         15 |      1,133 |         54 |        195 |      1,382 |
| local_modules/fisheyegl                                                                                                  |         15 |      1,133 |         54 |        195 |      1,382 |
| local_modules/fisheyegl/dist                                                                                             |          1 |        410 |          9 |         72 |        491 |
| local_modules/fisheyegl/example                                                                                          |          3 |        220 |          9 |         34 |        263 |
| local_modules/fisheyegl/src                                                                                              |          8 |        394 |         12 |         59 |        465 |
| local_modules/fisheyegl/src/shaders                                                                                      |          6 |        163 |          2 |          0 |        165 |
| mocks                                                                                                                    |          3 |          3 |          0 |          0 |          3 |
| mocks/data                                                                                                               |          3 |          3 |          0 |          0 |          3 |
| mocks/data/Camera                                                                                                        |          1 |          1 |          0 |          0 |          1 |
| mocks/data/Settings                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| mocks/data/User                                                                                                          |          1 |          1 |          0 |          0 |          1 |
| model                                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| model/v3                                                                                                                 |          1 |          1 |          0 |          0 |          1 |
| packages                                                                                                                 |        136 |     34,572 |      4,960 |        641 |     40,173 |
| packages/database                                                                                                        |         12 |        299 |         26 |         39 |        364 |
| packages/database/src                                                                                                    |          7 |        259 |          8 |         35 |        302 |
| packages/database/src/Lowdb                                                                                              |          1 |        160 |          1 |         16 |        177 |
| packages/database/src/Services                                                                                           |          4 |         34 |          0 |          8 |         42 |
| packages/models                                                                                                          |         11 |        147 |         19 |         22 |        188 |
| packages/models/src                                                                                                      |          6 |        101 |          0 |         16 |        117 |
| packages/models/src/lib                                                                                                  |          5 |        100 |          0 |         16 |        116 |
| packages/models/src/lib/Entities                                                                                         |          4 |         88 |          0 |         15 |        103 |
| packages/server                                                                                                          |         71 |     29,482 |      4,683 |        128 |     34,293 |
| packages/server/src                                                                                                      |         67 |     29,415 |      4,665 |        126 |     34,206 |
| packages/server/src/app                                                                                                  |          3 |        400 |         29 |         51 |        480 |
| packages/server/src/app/routers                                                                                          |          2 |        240 |          4 |         30 |        274 |
| packages/server/src/app/services                                                                                         |          1 |        160 |         25 |         21 |        206 |
| packages/server/src/assets                                                                                               |          1 |     21,549 |          0 |          0 |     21,549 |
| packages/server/src/assets/models                                                                                        |          1 |     21,549 |          0 |          0 |     21,549 |
| packages/server/src/assets/models/lite_mobilenet_v2                                                                      |          1 |     21,549 |          0 |          0 |     21,549 |
| packages/server/src/environments                                                                                         |          2 |          6 |          0 |          2 |          8 |
| packages/server/src/onvif-nvt                                                                                            |         60 |      7,424 |      4,631 |         62 |     12,117 |
| packages/server/src/onvif-nvt/modules                                                                                    |         46 |      6,004 |      4,250 |         46 |     10,300 |
| packages/server/src/onvif-nvt/utils                                                                                      |         10 |        631 |        209 |         10 |        850 |
| packages/viewer                                                                                                          |         42 |      4,644 |        232 |        452 |      5,328 |
| packages/viewer/src                                                                                                      |         36 |      4,484 |        216 |        447 |      5,147 |
| packages/viewer/src/app                                                                                                  |         30 |      4,436 |        208 |        436 |      5,080 |
| packages/viewer/src/app/components                                                                                       |          2 |        152 |          3 |         16 |        171 |
| packages/viewer/src/app/components/Header                                                                                |          1 |         61 |          3 |          8 |         72 |
| packages/viewer/src/app/components/Sidebar                                                                               |          1 |         91 |          0 |          8 |         99 |
| packages/viewer/src/app/container                                                                                        |          1 |         89 |         17 |         12 |        118 |
| packages/viewer/src/app/container/main                                                                                   |          1 |         89 |         17 |         12 |        118 |
| packages/viewer/src/app/reducers                                                                                         |          5 |        372 |          2 |         38 |        412 |
| packages/viewer/src/app/reducers/Base                                                                                    |          1 |         32 |          0 |          8 |         40 |
| packages/viewer/src/app/reducers/Data                                                                                    |          3 |        325 |          2 |         28 |        355 |
| packages/viewer/src/app/services                                                                                         |          3 |        379 |         73 |         31 |        483 |
| packages/viewer/src/app/store                                                                                            |          4 |         79 |          4 |         12 |         95 |
| packages/viewer/src/app/views                                                                                            |         13 |      3,303 |        109 |        320 |      3,732 |
| packages/viewer/src/app/views/Home                                                                                       |          9 |      2,473 |         88 |        266 |      2,827 |
| packages/viewer/src/app/views/Settings                                                                                   |          4 |        830 |         21 |         54 |        905 |
| packages/viewer/src/environments                                                                                         |          2 |          6 |          2 |          3 |         11 |
| rtspgo                                                                                                                   |          6 |        662 |          9 |         57 |        728 |
| tools                                                                                                                    |          1 |         11 |          2 |          0 |         13 |
| types                                                                                                                    |         60 |      7,289 |      4,631 |         60 |     11,980 |
| types/modules                                                                                                            |         46 |      6,004 |      4,250 |         46 |     10,300 |
| types/utils                                                                                                              |         10 |        631 |        209 |         10 |        850 |
+--------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                 | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/kadirnacar/github/security/.eslintrc.json                                                                         | JSON with Comments |          3 |         33 |          0 |         36 |
| /Users/kadirnacar/github/security/.prettierignore                                                                        | Ignore             |          1 |          1 |          2 |          4 |
| /Users/kadirnacar/github/security/.prettierrc                                                                            | JSON               |          3 |          0 |          1 |          4 |
| /Users/kadirnacar/github/security/README.md                                                                              | Markdown           |         51 |          0 |         44 |         95 |
| /Users/kadirnacar/github/security/alpr/Dockerfile                                                                        | Docker             |         17 |          0 |          7 |         24 |
| /Users/kadirnacar/github/security/alpr/README.md                                                                         | Markdown           |         13 |          0 |          7 |         20 |
| /Users/kadirnacar/github/security/alpr/openalpr/.dockerignore                                                            | Ignore             |          2 |          0 |          1 |          3 |
| /Users/kadirnacar/github/security/alpr/openalpr/.travis.yml                                                              | YAML               |         14 |          0 |          6 |         20 |
| /Users/kadirnacar/github/security/alpr/openalpr/CONTRIBUTING.md                                                          | Markdown           |          1 |          0 |          1 |          2 |
| /Users/kadirnacar/github/security/alpr/openalpr/Dockerfile                                                               | Docker             |         20 |          4 |          7 |         31 |
| /Users/kadirnacar/github/security/alpr/openalpr/README.md                                                                | Markdown           |        113 |          0 |         61 |        174 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/generate.bat                                                         | Batch              |        229 |          0 |         35 |        264 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/requirements.txt                                                     | pip requirements   |         13 |          0 |          1 |         14 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/accuracy_improvements.rst                                     | reStructuredText   |        225 |         12 |        124 |        361 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/alprd.rst                                                     | reStructuredText   |        400 |         15 |        102 |        517 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/bindings.rst                                                  | reStructuredText   |        213 |          8 |         76 |        297 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/cloudapi.yaml                                                 | YAML               |        303 |          4 |         17 |        324 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/commandline.rst                                               | reStructuredText   |         64 |          1 |         45 |        110 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/commercial.rst                                                | reStructuredText   |         35 |          2 |         24 |         61 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/compiling.rst                                                 | reStructuredText   |        148 |          5 |         73 |        226 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/conf.py                                                       | Python             |         34 |        178 |         80 |        292 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/index.rst                                                     | reStructuredText   |         31 |          2 |         14 |         47 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/video_processing.rst                                          | reStructuredText   |         73 |          5 |         48 |        126 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/web_server.rst                                                | reStructuredText   |        109 |         16 |         81 |        206 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/source/web_server_api.yaml                                           | YAML               |        412 |          0 |          9 |        421 |
| /Users/kadirnacar/github/security/alpr/openalpr/doc/watch_for_changes.sh                                                 | Shell Script       |          1 |          1 |          3 |          5 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/cameras.yaml                                                | YAML               |        233 |          0 |          1 |        234 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/config/au.conf                                              | Properties         |         34 |          0 |         12 |         46 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/config/auwide.conf                                          | Properties         |         34 |          0 |         14 |         48 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/config/eu.conf                                              | Properties         |         35 |          0 |         13 |         48 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/config/gb.conf                                              | Properties         |         36 |          0 |         15 |         51 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/config/kr.conf                                              | Properties         |         35 |          0 |         13 |         48 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/config/kr2.conf                                             | Properties         |         37 |          0 |         14 |         51 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/config/mx.conf                                              | Properties         |         35 |          0 |         13 |         48 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/config/sg.conf                                              | Properties         |         32 |          0 |         14 |         46 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/config/us.conf                                              | Properties         |         34 |          0 |         11 |         45 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/region/au.xml                                               | XML                |        843 |         12 |          1 |        856 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/region/eu.xml                                               | XML                |        807 |         12 |          1 |        820 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/region/kr2.xml                                              | XML                |        432 |          9 |          1 |        442 |
| /Users/kadirnacar/github/security/alpr/openalpr/runtime_data/region/us.xml                                               | XML                |      2,534 |         17 |          1 |      2,552 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/AssemblyInfo.cpp                        | C++                |         19 |         15 |          7 |         41 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/Stdafx.cpp                              | C++                |          1 |          3 |          2 |          6 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/Stdafx.h                                | C++                |          1 |          3 |          4 |          8 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/bitmapmat-net.cpp                       | C++                |         32 |          0 |         10 |         42 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/bitmapmat-net.h                         | C++                |         41 |          0 |         10 |         51 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/config-net.h                            | C++                |        586 |          1 |         68 |        655 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/helper-net.h                            | C++                |         74 |          1 |         18 |         93 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/lock-net.h                              | C++                |         15 |          0 |          4 |         19 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/motiondetector-net.cpp                  | C++                |         60 |          0 |         11 |         71 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/motiondetector-net.h                    | C++                |         41 |          0 |         11 |         52 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/openalpr-net.cpp                        | C++                |        365 |         46 |         74 |        485 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/openalpr-net.h                          | C++                |         16 |          0 |          8 |         24 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/resource.h                              | C++                |          0 |          3 |          1 |          4 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalpr-net/types-net.h                             | C++                |         16 |          0 |          3 |         19 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-cli/CommandLine.cs                       | C#                 |         50 |         24 |          8 |         82 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-cli/Program.cs                           | C#                 |        107 |         20 |         13 |        140 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-cli/Properties/AssemblyInfo.cs           | C#                 |         15 |         17 |          5 |         37 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-cli/openalprnet-cli.csproj               | XML                |         89 |          7 |          0 |         96 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-windemo/Form1.Designer.cs                | C#                 |        138 |         47 |          8 |        193 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-windemo/Form1.cs                         | C#                 |        138 |         25 |         24 |        187 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-windemo/Program.cs                       | C#                 |         17 |         20 |          3 |         40 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-windemo/Properties/AssemblyInfo.cs       | C#                 |         15 |         17 |          5 |         37 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-windemo/Properties/Resources.Designer.cs | C#                 |         32 |         23 |          9 |         64 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-windemo/Properties/Settings.Designer.cs  | C#                 |         12 |          9 |          6 |         27 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-windemo/app.config                       | XML                |          3 |          0 |          1 |          4 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/csharp/openalprnet-windemo/openalprnet-windemo.csproj       | XML                |        125 |          7 |          0 |        132 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/go/main.go                                                  | Go                 |         29 |          0 |          8 |         37 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/go/make.sh                                                  | Shell Script       |          6 |          1 |          6 |         13 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/go/openalpr/openalpr.go                                     | Go                 |        105 |          8 |         25 |        138 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/go/openalprgo.cpp                                           | C++                |         54 |          1 |         15 |         70 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/go/openalprgo.h                                             | C++                |         21 |          2 |          4 |         27 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/com_openalpr_jni_Alpr.h                                | C++                |         28 |         47 |         11 |         86 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/make.sh                                                | Shell Script       |          8 |          8 |          6 |         22 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/openalprjni.cpp                                        | C++                |         79 |          8 |         33 |        120 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/Main.java                                          | Java               |         45 |          2 |         13 |         60 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/Alpr.java                         | Java               |         64 |          2 |         19 |         85 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/AlprCoordinate.java               | Java               |         18 |          0 |          7 |         25 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/AlprException.java                | Java               |          6 |          0 |          4 |         10 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/AlprPlate.java                    | Java               |         23 |          0 |          8 |         31 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/AlprPlateResult.java              | Java               |         68 |          7 |         27 |        102 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/AlprRegionOfInterest.java         | Java               |         28 |          0 |          9 |         37 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/AlprResults.java                  | Java               |         56 |          0 |         16 |         72 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/json/JSON.java                    | Java               |         89 |         18 |         10 |        117 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/json/JSONArray.java               | Java               |        247 |        289 |         50 |        586 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/json/JSONException.java           | Java               |          6 |         39 |          5 |         50 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/json/JSONObject.java              | Java               |        309 |        352 |         60 |        721 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/json/JSONStringer.java            | Java               |        198 |        182 |         53 |        433 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/java/src/com/openalpr/jni/json/JSONTokener.java             | Java               |        316 |        232 |         64 |        612 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/python/make.sh                                              | Shell Script       |          4 |          2 |          4 |         10 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/python/openalpr/__init__.py                                 | Python             |          5 |          0 |          1 |          6 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/python/openalpr/openalpr.py                                 | Python             |        117 |         78 |         38 |        233 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/python/openalprpy.cpp                                       | C++                |         83 |         19 |         44 |        146 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/python/setup.py                                             | Python             |          9 |          1 |          3 |         13 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/bindings/python/test.py                                              | Python             |         39 |          3 |         16 |         58 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/daemon.cpp                                                           | C++                |        312 |         37 |        125 |        474 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/daemon/beanstalk.c                                                   | C                  |        508 |         21 |        117 |        646 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/daemon/beanstalk.cc                                                  | C++                |        265 |          2 |         51 |        318 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/daemon/beanstalk.h                                                   | C++                |         86 |         10 |         19 |        115 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/daemon/beanstalk.hpp                                                 | C++                |         63 |          0 |          5 |         68 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/daemon/daemonconfig.cpp                                              | C++                |         29 |         21 |         12 |         62 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/daemon/daemonconfig.h                                                | C++                |         22 |          0 |         11 |         33 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/main.cpp                                                             | C++                |        283 |         28 |         66 |        377 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/benchmarks2/benchmark.cpp                             | C++                |        224 |         23 |         61 |        308 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/benchmarks2/benchmark_utils.cpp                       | C++                |         18 |          0 |          7 |         25 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/benchmarks2/benchmark_utils.h                         | C++                |          5 |          0 |          5 |         10 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/benchmarks2/endtoendtest.cpp                          | C++                |        182 |         20 |         69 |        271 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/benchmarks2/endtoendtest.h                            | C++                |         38 |          0 |         11 |         49 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/binarizefontsheet.cpp                                 | C++                |        175 |         41 |         72 |        288 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/calibrate.cpp                                         | C++                |        284 |         24 |        109 |        417 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/classifychars.cpp                                     | C++                |        304 |         26 |         65 |        395 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/prepcharsfortraining.cpp                              | C++                |        141 |         30 |         58 |        229 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/sortstate.cpp                                         | C++                |         65 |         22 |         21 |        108 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/misc_utilities/tagplates.cpp                                         | C++                |        173 |         23 |         54 |        250 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/TRexpp.h                                                    | C++                |         64 |         30 |          4 |         98 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/alpr.cpp                                                    | C++                |         88 |         19 |         25 |        132 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/alpr.h                                                      | C++                |        104 |         33 |         43 |        180 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/alpr_impl.cpp                                               | C++                |        566 |         49 |        181 |        796 |
| /Users/kadirnacar/github/security/alpr/openalpr/src/openalpr/alpr_impl.h                                                 | C++                |         75 |         18 |         38 |        131 |
